Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\4-port USB HUB\Project Outputs for 4-port USB HUB\Pick Place for 4-PortUsbHub_PCB.txt

========================================================================================================================
File Design Information:

Date:       01/08/22
Time:       19:25
Revision:   2f1839912aa51aa73b73f158d897ca6191bdc80c
Variant:    No variations
Units used: mm

Designator Comment           Layer    Footprint               Center-X(mm) Center-Y(mm) Rotation Description                                                                                                      
Y1         12MHz             TopLayer FP-7M-MFG               11.1399      35.7897      180      "Crystal 12MHz, 10ppm, 10pF, 80O"                                                                                
U1         GL850G-HHY22      TopLayer GL850G-HHY22            24.3479      37.6947      0        "SSOP-28 USB RoHS"                                                                                               
R13        PTC               TopLayer FP-MF-PSMF-MFG          83.2759      15.2157      270      "PTC RESET FUSE 6V 500MA 0805"                                                                                   
R12        PTC               TopLayer FP-MF-PSMF-MFG          5.9759       -5.6123      180      "PTC RESET FUSE 6V 500MA 0805"                                                                                   
R11        PTC               TopLayer FP-MF-PSMF-MFG          -10.1961     71.6467      90       "PTC RESET FUSE 6V 500MA 0805"                                                                                   
R10        PTC               TopLayer FP-MF-PSMF-MFG          65.4959      92.8127      0        "PTC RESET FUSE 6V 500MA 0805"                                                                                   
R9         20k               TopLayer FP-CRCW1206-e3-MFG      39.2069      38.3297      90       "RES Thick Film, 20kO, 1%, 0.25W, 100ppm/°C, 1206"                                                               
R8         10k               TopLayer FP-CR0805-IPC_A         36.5399      38.2027      270      "Thick Film Chip Resistors 0805 10kO 0.125W 1% 100ppm/°C"                                                        
R7         470k              TopLayer FP-CRCW0805-e3-IPC_C    54.9549      37.9868      270      "RES Thick Film, 470kO, 1%, 0.125W, 100ppm/°C, 0805"                                                             
R6         4.7k              TopLayer RESC2013X70X40NL20T20   58.1299      26.6317      90       "Chip Resistor, 4.7 KOhm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel"             
R5         470r              TopLayer RESC2013X70X40ML20T20   28.4119      25.5027      0        "Chip Resistor, 470 Ohm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel"              
R4         100k              TopLayer RESC2013X60X35ML10T20   29.4279      21.8197      90       "Chip Resistor, 100 KOhm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel"             
R3         47k               TopLayer FP-CRCW0603-e3-IPC_B    19.2213      29.9477      0        "RES SMD 47K OHM 1% 1/10W 0603"                                                                                  
R2         10k               TopLayer FP-CR0805-IPC_A         19.9419      27.4077      0        "Thick Film Chip Resistors 0805 10kO 0.125W 1% 100ppm/°C"                                                        
R1         680r              TopLayer FP-ERJ3EK-IPC_A         14.8229      43.5367      270      "RES SMD 680 OHM 1% 1/10W 0603"                                                                                  
Q1         SQ2303ES-T1_BE3   TopLayer SOT95P237X112-3N        62.2549      26.6797      90       "MOSFET (P-Channel)"                                                                                             
LED1       RED               TopLayer FP-LS_R976-MFG          27.0149      22.2007      90       "LED RED DIFFUSED 0805 SMD"                                                                                      
L6         FBMH1608HL600-T_1 TopLayer FBMH1608HL600-T         92.0389      15.8215      90       "0603 60O ±25%
DCR=45mO 2.1A"                                                                                   
L5         FBMH1608HL600-T_1 TopLayer FBMH1608HL600-T         8.3167       -12.8513     0        "0603 60O ±25%
DCR=45mO 2.1A"                                                                                   
L4         FBMH1608HL600-T_1 TopLayer FBMH1608HL600-T         -19.9751     69.2199      270      "0603 60O ±25%
DCR=45mO 2.1A"                                                                                   
L3         FBMH1608HL600-T_1 TopLayer FBMH1608HL600-T         61.2757      102.9727     180      "0603 60O ±25%
DCR=45mO 2.1A"                                                                                   
L2         FBMH1608HL600-T_1 TopLayer FBMH1608HL600-T         40.7855      57.6591      180      "0603 60O ±25%
DCR=45mO 2.1A"                                                                                   
L1         FBMH1608HL600-T_1 TopLayer FBMH1608HL600-T         30.5709      33.7869      270      "0603 60O ±25%
DCR=45mO 2.1A"                                                                                   
USB-4      USB-A-S-X-X-TH    TopLayer USB-A-S-X-X-TH          91.4379      24.7827      180      ""                                                                                                               
USB-3      USB-A-S-X-X-TH    TopLayer USB-A-S-X-X-TH          16.8549      -11.7083     90       ""                                                                                                               
